127.0.0.1 - - [22/Nov/2014:13:32:42 -0500] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [22/Nov/2014:13:32:48 -0500] "POST /com.AppHub.jersy/rest/UserService/create HTTP/1.1" 200 115
127.0.0.1 - - [22/Nov/2014:13:32:48 -0500] "PUT /com.AppHub.jersy/rest/UserService/update HTTP/1.1" 200 126
127.0.0.1 - - [22/Nov/2014:13:32:48 -0500] "DELETE /com.AppHub.jersy/rest/UserService/remove/testUser HTTP/1.1" 201 32
127.0.0.1 - - [22/Nov/2014:13:32:48 -0500] "GET /com.AppHub.jersy/rest/UserService/root HTTP/1.1" 200 124
127.0.0.1 - - [22/Nov/2014:13:32:48 -0500] "POST /com.AppHub.jersy/rest/UserService/create HTTP/1.1" 200 115
127.0.0.1 - - [22/Nov/2014:13:32:48 -0500] "DELETE /com.AppHub.jersy/rest/UserService/remove/testUser HTTP/1.1" 201 32
127.0.0.1 - - [22/Nov/2014:13:32:48 -0500] "POST /com.AppHub.jersy/rest/UserService/create HTTP/1.1" 200 115
127.0.0.1 - - [22/Nov/2014:13:32:48 -0500] "DELETE /com.AppHub.jersy/rest/UserService/remove/testUser HTTP/1.1" 201 32
127.0.0.1 - - [22/Nov/2014:13:53:29 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 60
127.0.0.1 - - [22/Nov/2014:13:53:29 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/1738912 HTTP/1.1" 201 35
127.0.0.1 - - [22/Nov/2014:13:53:29 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 60
127.0.0.1 - - [22/Nov/2014:13:53:29 -0500] "PUT /com.AppHub.jersy/rest/PlatformService/update HTTP/1.1" 200 68
127.0.0.1 - - [22/Nov/2014:13:53:29 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/1738912 HTTP/1.1" 201 35
127.0.0.1 - - [22/Nov/2014:13:53:30 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 60
127.0.0.1 - - [22/Nov/2014:13:53:30 -0500] "DELETE /com.AppHub.jersy/rest/UserService/remove/1738912 HTTP/1.1" 400 39
127.0.0.1 - - [22/Nov/2014:13:53:30 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 204 -
127.0.0.1 - - [22/Nov/2014:14:02:33 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 63
127.0.0.1 - - [22/Nov/2014:14:02:33 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-656254607 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:14:02:33 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 63
127.0.0.1 - - [22/Nov/2014:14:02:33 -0500] "DELETE /com.AppHub.jersy/rest/UserService/remove/-656254235 HTTP/1.1" 400 42
127.0.0.1 - - [22/Nov/2014:14:02:33 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 63
127.0.0.1 - - [22/Nov/2014:14:02:33 -0500] "PUT /com.AppHub.jersy/rest/PlatformService/update HTTP/1.1" 200 71
127.0.0.1 - - [22/Nov/2014:14:02:33 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-656254116 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:14:02:33 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 63
127.0.0.1 - - [22/Nov/2014:14:02:33 -0500] "GET /com.AppHub.jersy/rest/PlatformService/-656253984 HTTP/1.1" 200 63
127.0.0.1 - - [22/Nov/2014:14:02:33 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-656253984 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:14:05:50 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 56
127.0.0.1 - - [22/Nov/2014:14:05:50 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/224 HTTP/1.1" 201 31
127.0.0.1 - - [22/Nov/2014:14:05:50 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 56
127.0.0.1 - - [22/Nov/2014:14:05:50 -0500] "DELETE /com.AppHub.jersy/rest/UserService/remove/598 HTTP/1.1" 400 35
127.0.0.1 - - [22/Nov/2014:14:05:50 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 56
127.0.0.1 - - [22/Nov/2014:14:05:50 -0500] "PUT /com.AppHub.jersy/rest/PlatformService/update HTTP/1.1" 200 64
127.0.0.1 - - [22/Nov/2014:14:05:50 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/713 HTTP/1.1" 201 31
127.0.0.1 - - [22/Nov/2014:14:05:50 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 56
127.0.0.1 - - [22/Nov/2014:14:05:50 -0500] "GET /com.AppHub.jersy/rest/PlatformService/844 HTTP/1.1" 200 56
127.0.0.1 - - [22/Nov/2014:14:05:50 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/844 HTTP/1.1" 201 31
127.0.0.1 - - [22/Nov/2014:14:07:15 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 56
127.0.0.1 - - [22/Nov/2014:14:07:15 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/956 HTTP/1.1" 201 31
127.0.0.1 - - [22/Nov/2014:14:07:15 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 56
127.0.0.1 - - [22/Nov/2014:14:07:15 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/314 HTTP/1.1" 201 31
127.0.0.1 - - [22/Nov/2014:14:07:15 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 56
127.0.0.1 - - [22/Nov/2014:14:07:15 -0500] "PUT /com.AppHub.jersy/rest/PlatformService/update HTTP/1.1" 200 64
127.0.0.1 - - [22/Nov/2014:14:07:15 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/431 HTTP/1.1" 201 31
127.0.0.1 - - [22/Nov/2014:14:07:15 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 56
127.0.0.1 - - [22/Nov/2014:14:07:15 -0500] "GET /com.AppHub.jersy/rest/PlatformService/548 HTTP/1.1" 200 56
127.0.0.1 - - [22/Nov/2014:14:07:15 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/548 HTTP/1.1" 201 31
127.0.0.1 - - [22/Nov/2014:14:07:42 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 63
127.0.0.1 - - [22/Nov/2014:14:07:42 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-655944963 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:14:07:43 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 63
127.0.0.1 - - [22/Nov/2014:14:07:43 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-655944609 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:14:07:43 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 63
127.0.0.1 - - [22/Nov/2014:14:07:43 -0500] "PUT /com.AppHub.jersy/rest/PlatformService/update HTTP/1.1" 200 71
127.0.0.1 - - [22/Nov/2014:14:07:43 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-655944497 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:14:07:43 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 63
127.0.0.1 - - [22/Nov/2014:14:07:43 -0500] "GET /com.AppHub.jersy/rest/PlatformService/-655944382 HTTP/1.1" 200 63
127.0.0.1 - - [22/Nov/2014:14:07:43 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-655944382 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:14:07:52 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 63
127.0.0.1 - - [22/Nov/2014:14:07:52 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-655935062 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:14:07:52 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 63
127.0.0.1 - - [22/Nov/2014:14:07:52 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-655934722 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:14:07:53 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 63
127.0.0.1 - - [22/Nov/2014:14:07:53 -0500] "PUT /com.AppHub.jersy/rest/PlatformService/update HTTP/1.1" 200 71
127.0.0.1 - - [22/Nov/2014:14:07:53 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-655934614 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:14:07:53 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 63
127.0.0.1 - - [22/Nov/2014:14:07:53 -0500] "GET /com.AppHub.jersy/rest/PlatformService/-655934494 HTTP/1.1" 200 63
127.0.0.1 - - [22/Nov/2014:14:07:53 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-655934494 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:14:07:53 -0500] "POST /com.AppHub.jersy/rest/UserService/create HTTP/1.1" 200 115
127.0.0.1 - - [22/Nov/2014:14:07:53 -0500] "PUT /com.AppHub.jersy/rest/UserService/update HTTP/1.1" 200 126
